PulseResult

Table 1
Table No [#]	Vc+ [V]	Vc- [V]	Px [uC/cm2]	Pr+ [uC/cm2]	Pr- [uC/cm2]	Prrel+ [uC/cm2]	Prrel- [uC/cm2]	Psw [uC/cm2]	Pnsw [uC/cm2]	dPsw [uC/cm2]	Wloss [uJ/cm2]	Rav [Ohm]	Measurement Status []	Vmax+ [V]	Vmax- [V]	Pvmax+ [uC/cm2]	Pvmax- [uC/cm2]	Ipk+ [A]	Ipk- [A]	Write Pulse Time [s]	Write Pulse Rise Time [s]	Write Pulse Amplitude [V]	Pund Frequency [Hz]	Pund Amplitude [V]	Write Pulse Delay [s]	Pulse Points []	Read Pulse Delay [s]	Number of pulses []	Current Range []	
1.000000e+000	9.596670e-001	-1.966030e+000	-8.251400e+001	9.667890e+001	-8.616620e+001	9.245780e+001	-7.389290e+001	2.558050e+002	8.945420e+001	1.663510e+002	5.854210e+002	3.565640e+005	0.000000e+000	2.999870e+000	-2.956390e+000	1.819120e+002	-1.819120e+002	2.195910e-004	-2.077160e-004	1.000000e-003	1.000000e-003	3.000000e+000	2.500000e+003	3.000000e+000	1.990000e-001	4.010000e+002	1.000000e-003	5.000000e+000	5.000000e+000	

Pulse
Program: aixPlorer Software version 3.0.64.0
TimeStamp: 06/09/2025 18:39:37
TfaModule: PM
ProgramMode: 0
TfaFileType: data
BasicUnit: BU1012-1
TfaVersion: 4.4.0

Table 1
Timestamp: 06/09/2025 18:39:37
TableVersion: 4.4.0
Number of pulses: 5
Pulse Sequence: 0XUNDP-
Pulse Points: 401
Monitoring: YES
SampleName: 123
Area [mm2]: 0.0025
Thickness [nm]: 9
Number Of Ceramic Layers: 1
Current Range: 5 (1mA)
Voltage Monitor Range: passive monitor
Pund Frequency [Hz]: 2500
Pund Amplitude [V]: 3
Write Pulse Time [s]: 0.001
Write Pulse Rise Time [s]: 0.001
Write Pulse Amplitude [V]: 3
Waveform: 0
Read Pulse Delay [s]: 0.001
Write Pulse Delay [s]: 0.199
Settings: OM MON
Pvmax+ [uC/cm2]: 181.912
Pvmax- [uC/cm2]: -181.912
Pr+ [uC/cm2]: 96.6789
Pr- [uC/cm2]: -86.1662
Prrel+ [uC/cm2]: 92.4578
Prrel- [uC/cm2]: -73.8929
Px [uC/cm2]: -82.514
Pnsw [uC/cm2]: 89.4542
Psw [uC/cm2]: 255.805
dPsw [uC/cm2]: 166.351
Vc+ [V]: 0.959667
Vc- [V]: -1.96603
Rav [Ohm]: 356564
Wloss [uJ/cm2]: 585.421
Vmax+ [V]: 2.99987
Vmax- [V]: -2.95639
Ipk+ [A]: 0.000219591
Ipk- [A]: -0.000207716
Basic System: TFAnalyzer 3000
Measure Head: FE 929-2HSIN
MeasureHal Profile: default
Program Version: 3.0.64.0
Operator: Unknown
HV Amplifier: FE-Head (Monitored)
Measurement Topology: electrical 3, strain 3
Measurement Status: 0
Time [s]	V [V]	I [A]	P [uC/cm2]	Time [s]	V [V]	I [A]	P [uC/cm2]	Time [s]	V [V]	I [A]	P [uC/cm2]	Time [s]	V [V]	I [A]	P [uC/cm2]	Time [s]	V [V]	I [A]	P [uC/cm2]	
1.032428e-004	2.913839e+000	-1.530072e-005	1.804874e+002	1.303243e-003	2.935862e+000	-1.871876e-005	1.801135e+002	2.503243e-003	-2.891273e+000	1.231666e-005	-1.818251e+002	3.703243e-003	-2.890946e+000	1.977654e-005	-1.813116e+002	4.903243e-003	2.933827e+000	-1.927635e-005	1.812030e+002	
1.039909e-004	2.892146e+000	-1.868642e-005	1.799789e+002	1.303991e-003	2.914026e+000	-1.600768e-005	1.795939e+002	2.503991e-003	-2.868556e+000	1.299915e-005	-1.814463e+002	3.703991e-003	-2.868994e+000	1.933288e-005	-1.807264e+002	4.903991e-003	2.911067e+000	-1.891793e-005	1.806315e+002	
1.047390e-004	2.870151e+000	-1.940807e-005	1.794089e+002	1.304739e-003	2.891648e+000	-1.841580e-005	1.790789e+002	2.504739e-003	-2.846246e+000	1.875981e-005	-1.809711e+002	3.704739e-003	-2.845928e+000	2.202946e-005	-1.801075e+002	4.904739e-003	2.890845e+000	-2.223583e-005	1.800158e+002	
1.054872e-004	2.848305e+000	-1.887666e-005	1.788361e+002	1.305487e-003	2.869170e+000	-2.183394e-005	1.784766e+002	2.505487e-003	-2.823619e+000	1.694603e-005	-1.804368e+002	3.705487e-003	-2.823709e+000	2.047579e-005	-1.794715e+002	4.905487e-003	2.867284e+000	-1.891795e-005	1.794000e+002	
1.062353e-004	2.825724e+000	-1.998136e-005	1.782546e+002	1.306235e-003	2.847984e+000	-1.761103e-005	1.778864e+002	2.506235e-003	-2.804597e+000	2.055588e-005	-1.798757e+002	3.706235e-003	-2.802643e+000	1.937549e-005	-1.788753e+002	4.906235e-003	2.844855e+000	-1.987734e-005	1.788195e+002	
1.069834e-004	2.801791e+000	-1.469556e-005	1.777358e+002	1.306983e-003	2.825277e+000	-2.144577e-005	1.773020e+002	2.506983e-003	-2.782302e+000	1.902897e-005	-1.792834e+002	3.706983e-003	-2.778917e+000	1.752775e-005	-1.783231e+002	4.906983e-003	2.823569e+000	-1.923234e-005	1.782343e+002	
1.077316e-004	2.782377e+000	-1.925086e-005	1.772278e+002	1.307732e-003	2.801960e+000	-1.904502e-005	1.766962e+002	2.507732e-003	-2.758622e+000	1.916577e-005	-1.787119e+002	3.707732e-003	-2.757942e+000	1.979224e-005	-1.777647e+002	4.907732e-003	2.800491e+000	-1.922988e-005	1.776588e+002	
1.084797e-004	2.759294e+000	-1.905467e-005	1.766547e+002	1.308480e-003	2.781290e+000	-2.293630e-005	1.760680e+002	2.508480e-003	-2.734948e+000	2.077988e-005	-1.781142e+002	3.708480e-003	-2.733972e+000	2.062292e-005	-1.771600e+002	4.908480e-003	2.777942e+000	-2.006447e-005	1.770709e+002	
1.092278e-004	2.736267e+000	-2.160937e-005	1.760462e+002	1.309228e-003	2.758948e+000	-2.070813e-005	1.754150e+002	2.509228e-003	-2.714205e+000	1.938847e-005	-1.775132e+002	3.709228e-003	-2.713447e+000	1.975246e-005	-1.765558e+002	4.909228e-003	2.757548e+000	-1.910454e-005	1.764848e+002	
1.099760e-004	2.715145e+000	-2.084467e-005	1.754110e+002	1.309976e-003	2.734972e+000	-2.114637e-005	1.747887e+002	2.509976e-003	-2.690753e+000	2.070560e-005	-1.769133e+002	3.709976e-003	-2.689953e+000	1.974496e-005	-1.759648e+002	4.909976e-003	2.735085e+000	-1.871408e-005	1.759189e+002	
1.107241e-004	2.694439e+000	-1.966902e-005	1.748048e+002	1.310724e-003	2.713845e+000	-2.010275e-005	1.741715e+002	2.510724e-003	-2.669442e+000	2.191165e-005	-1.762756e+002	3.710724e-003	-2.669198e+000	2.024107e-005	-1.753665e+002	4.910724e-003	2.712311e+000	-1.855866e-005	1.753612e+002	
1.114723e-004	2.670853e+000	-1.977590e-005	1.742146e+002	1.311472e-003	2.691766e+000	-1.723156e-005	1.736129e+002	2.511472e-003	-2.646224e+000	2.105660e-005	-1.756327e+002	3.711472e-003	-2.646871e+000	2.016392e-005	-1.747620e+002	4.911472e-003	2.691151e+000	-1.565481e-005	1.748493e+002	
1.122204e-004	2.649040e+000	-2.054476e-005	1.736113e+002	1.312220e-003	2.668930e+000	-1.868728e-005	1.730755e+002	2.512220e-003	-2.625271e+000	2.711138e-005	-1.749119e+002	3.712220e-003	-2.624738e+000	1.767678e-005	-1.741958e+002	4.912220e-003	2.668614e+000	-2.271710e-005	1.742751e+002	
1.129685e-004	2.627135e+000	-2.119960e-005	1.729867e+002	1.312969e-003	2.649433e+000	-2.292493e-005	1.724528e+002	2.512969e-003	-2.602770e+000	2.174288e-005	-1.741809e+002	3.712969e-003	-2.601772e+000	2.266632e-005	-1.735921e+002	4.912969e-003	2.645872e+000	-1.885544e-005	1.736531e+002	
1.137167e-004	2.604006e+000	-2.117257e-005	1.723527e+002	1.313717e-003	2.624631e+000	-2.133473e-005	1.717906e+002	2.513717e-003	-2.580584e+000	2.122057e-005	-1.735381e+002	3.713717e-003	-2.578220e+000	2.160183e-005	-1.729298e+002	4.913717e-003	2.622243e+000	-1.352834e-005	1.731686e+002	
1.144648e-004	2.581976e+000	-2.230212e-005	1.717022e+002	1.314465e-003	2.602489e+000	-1.885954e-005	1.711892e+002	2.514465e-003	-2.558944e+000	1.920700e-005	-1.729332e+002	3.714465e-003	-2.557214e+000	2.866586e-005	-1.721776e+002	4.914465e-003	2.600108e+000	-3.311192e-005	1.724707e+002	
1.152129e-004	2.558420e+000	-2.109798e-005	1.710528e+002	1.315213e-003	2.581264e+000	-2.086963e-005	1.705947e+002	2.515213e-003	-2.536331e+000	1.933631e-005	-1.723565e+002	3.715213e-003	-2.535419e+000	2.012831e-005	-1.714475e+002	4.915213e-003	2.578821e+000	-1.915804e-005	1.716886e+002	
1.159611e-004	2.538049e+000	-2.288397e-005	1.703947e+002	1.315961e-003	2.558165e+000	-1.970454e-005	1.699876e+002	2.515961e-003	-2.510491e+000	2.342107e-005	-1.717167e+002	3.715961e-003	-2.512159e+000	2.305656e-005	-1.708014e+002	4.915961e-003	2.557615e+000	-2.126029e-005	1.710838e+002	
1.167092e-004	2.514869e+000	-2.162891e-005	1.697287e+002	1.316709e-003	2.536037e+000	-1.941600e-005	1.694023e+002	2.516709e-003	-2.490684e+000	2.254399e-005	-1.710289e+002	3.716709e-003	-2.489992e+000	2.401499e-005	-1.700970e+002	4.916709e-003	2.534148e+000	-1.625996e-005	1.705224e+002	
1.174573e-004	2.491694e+000	-2.147582e-005	1.690837e+002	1.317457e-003	2.512482e+000	-2.225952e-005	1.687787e+002	2.517457e-003	-2.468115e+000	2.385739e-005	-1.703347e+002	3.717457e-003	-2.466305e+000	2.143495e-005	-1.694170e+002	4.917457e-003	2.512662e+000	-2.006682e-005	1.699789e+002	
1.182055e-004	2.468882e+000	-1.955137e-005	1.684699e+002	1.318205e-003	2.490574e+000	-1.934775e-005	1.681561e+002	2.518205e-003	-2.445792e+000	2.270551e-005	-1.696380e+002	3.718205e-003	-2.443732e+000	1.889532e-005	-1.688135e+002	4.918205e-003	2.489349e+000	-2.014178e-005	1.693772e+002	
1.189536e-004	2.447704e+000	-1.978087e-005	1.678813e+002	1.318954e-003	2.469432e+000	-2.137886e-005	1.675467e+002	2.518954e-003	-2.422704e+000	2.251258e-005	-1.689614e+002	3.718954e-003	-2.422806e+000	2.192366e-005	-1.682028e+002	4.918954e-003	2.467719e+000	-2.156523e-005	1.687532e+002	
1.197017e-004	2.425747e+000	-2.178070e-005	1.672595e+002	1.319702e-003	2.445941e+000	-2.158449e-005	1.669039e+002	2.519702e-003	-2.399236e+000	2.143129e-005	-1.683038e+002	3.719702e-003	-2.399939e+000	2.106233e-005	-1.675596e+002	4.919702e-003	2.446147e+000	-2.222226e-005	1.680980e+002	
1.204499e-004	2.403873e+000	-1.881861e-005	1.666520e+002	1.320450e-003	2.424117e+000	-1.930058e-005	1.662921e+002	2.520450e-003	-2.376427e+000	2.269100e-005	-1.676437e+002	3.720450e-003	-2.379120e+000	2.228275e-005	-1.669110e+002	4.920450e-003	2.422826e+000	-1.928524e-005	1.674769e+002	
1.211980e-004	2.380359e+000	-2.009608e-005	1.660697e+002	1.321198e-003	2.401320e+000	-2.298848e-005	1.656594e+002	2.521198e-003	-2.355714e+000	2.213258e-005	-1.669730e+002	3.721198e-003	-2.357430e+000	3.017229e-005	-1.661262e+002	4.921198e-003	2.399958e+000	-2.283490e-005	1.668467e+002	
1.219462e-004	2.357796e+000	-2.235505e-005	1.654345e+002	1.321946e-003	2.378959e+000	-2.056337e-005	1.650077e+002	2.521946e-003	-2.333278e+000	2.305463e-005	-1.662969e+002	3.721946e-003	-2.333095e+000	2.154509e-005	-1.653523e+002	4.921946e-003	2.377563e+000	-2.369353e-005	1.661505e+002	
1.226943e-004	2.335649e+000	-2.074643e-005	1.647896e+002	1.322694e-003	2.355763e+000	-2.195495e-005	1.643715e+002	2.522694e-003	-2.312866e+000	2.259485e-005	-1.656138e+002	3.722694e-003	-2.309855e+000	2.227623e-005	-1.646966e+002	4.922694e-003	2.355439e+000	-1.912507e-005	1.655098e+002	
1.234424e-004	2.312603e+000	-2.229353e-005	1.641456e+002	1.323442e-003	2.336246e+000	-2.021574e-005	1.637405e+002	2.523442e-003	-2.290551e+000	2.375885e-005	-1.649202e+002	3.723442e-003	-2.288193e+000	2.614413e-005	-1.639721e+002	4.923442e-003	2.334125e+000	-2.729131e-005	1.648153e+002	
1.241906e-004	2.290563e+000	-2.142698e-005	1.634914e+002	1.324191e-003	2.314054e+000	-2.243045e-005	1.631024e+002	2.524191e-003	-2.266152e+000	2.409943e-005	-1.642041e+002	3.724191e-003	-2.266725e+000	2.039466e-005	-1.632758e+002	4.924191e-003	2.309164e+000	-2.214997e-005	1.640755e+002	
1.249387e-004	2.269332e+000	-2.277978e-005	1.628300e+002	1.324939e-003	2.290179e+000	-2.158848e-005	1.624438e+002	2.524939e-003	-2.244198e+000	2.324681e-005	-1.634957e+002	3.724939e-003	-2.244015e+000	2.316644e-005	-1.626240e+002	4.924939e-003	2.289557e+000	-2.009939e-005	1.634434e+002	
1.256868e-004	2.246192e+000	-1.559720e-005	1.622558e+002	1.325687e-003	2.267827e+000	-1.906537e-005	1.618355e+002	2.525687e-003	-2.220937e+000	2.165527e-005	-1.628239e+002	3.725687e-003	-2.221836e+000	2.310885e-005	-1.619316e+002	4.925687e-003	2.265880e+000	-2.248325e-005	1.628062e+002	
1.264350e-004	2.223659e+000	-2.123645e-005	1.617046e+002	1.326435e-003	2.246544e+000	-2.255809e-005	1.612127e+002	2.526435e-003	-2.198850e+000	2.468225e-005	-1.621305e+002	3.726435e-003	-2.197902e+000	2.095013e-005	-1.612724e+002	4.926435e-003	2.244660e+000	-2.009882e-005	1.621691e+002	
1.271831e-004	2.200851e+000	-2.080438e-005	1.610756e+002	1.327183e-003	2.223175e+000	-2.274487e-005	1.605349e+002	2.527183e-003	-2.176207e+000	1.928011e-005	-1.614727e+002	3.727183e-003	-2.176474e+000	2.522576e-005	-1.605814e+002	4.927183e-003	2.222413e+000	-2.424394e-005	1.615056e+002	
1.279312e-004	2.179160e+000	-2.156620e-005	1.604416e+002	1.327931e-003	2.200853e+000	-2.096312e-005	1.598809e+002	2.527931e-003	-2.153201e+000	2.234128e-005	-1.608500e+002	3.727931e-003	-2.154251e+000	1.991632e-005	-1.599060e+002	4.927931e-003	2.199669e+000	-1.863967e-005	1.608639e+002	
1.286794e-004	2.156585e+000	-2.347739e-005	1.597676e+002	1.328679e-003	2.177689e+000	-2.346124e-005	1.592162e+002	2.528679e-003	-2.131985e+000	2.328854e-005	-1.601672e+002	3.728679e-003	-2.130579e+000	2.178995e-005	-1.592820e+002	4.928679e-003	2.179333e+000	-2.053275e-005	1.602778e+002	
1.294275e-004	2.133927e+000	-2.188700e-005	1.590889e+002	1.329428e-003	2.156056e+000	-1.941195e-005	1.585747e+002	2.529428e-003	-2.109963e+000	2.540250e-005	-1.594387e+002	3.729428e-003	-2.110128e+000	2.152891e-005	-1.586338e+002	4.929428e-003	2.154814e+000	-2.252775e-005	1.596335e+002	
1.301756e-004	2.111096e+000	-2.080091e-005	1.584501e+002	1.330176e-003	2.133620e+000	-1.715029e-005	1.580276e+002	2.530176e-003	-2.087359e+000	2.322925e-005	-1.587110e+002	3.730176e-003	-2.087553e+000	2.191054e-005	-1.579838e+002	4.930176e-003	2.131454e+000	-1.803070e-005	1.590266e+002	
1.309238e-004	2.091684e+000	-1.949270e-005	1.578472e+002	1.330924e-003	2.110005e+000	-2.144312e-005	1.574501e+002	2.530924e-003	-2.065438e+000	2.878237e-005	-1.579328e+002	3.730924e-003	-2.064622e+000	2.425560e-005	-1.572930e+002	4.930924e-003	2.112047e+000	-2.203332e-005	1.584272e+002	
1.316719e-004	2.067280e+000	-1.962891e-005	1.572619e+002	1.331672e-003	2.086486e+000	-2.065825e-005	1.568202e+002	2.531672e-003	-2.044878e+000	2.166214e-005	-1.571780e+002	3.731672e-003	-2.043834e+000	2.219875e-005	-1.565980e+002	4.931672e-003	2.088600e+000	-2.016953e-005	1.577957e+002	
1.324201e-004	2.045745e+000	-2.144834e-005	1.566472e+002	1.332420e-003	2.066843e+000	-2.192455e-005	1.561830e+002	2.532420e-003	-2.021789e+000	2.113250e-005	-1.565377e+002	3.732420e-003	-2.021095e+000	2.418767e-005	-1.559039e+002	4.932420e-003	2.065537e+000	-2.087338e-005	1.571816e+002	
1.331682e-004	2.022836e+000	-2.133341e-005	1.560071e+002	1.333168e-003	2.044276e+000	-2.142648e-005	1.555344e+002	2.533168e-003	-1.999067e+000	2.098059e-005	-1.559075e+002	3.733168e-003	-1.998513e+000	2.452586e-005	-1.551750e+002	4.933168e-003	2.044267e+000	-2.220099e-005	1.565371e+002	
1.339163e-004	2.000121e+000	-2.151957e-005	1.553659e+002	1.333916e-003	2.022463e+000	-2.315819e-005	1.548673e+002	2.533916e-003	-1.976289e+000	2.094521e-005	-1.552802e+002	3.733916e-003	-1.974674e+000	2.281689e-005	-1.544666e+002	4.933916e-003	2.021563e+000	-2.011645e-005	1.559039e+002	
1.346645e-004	1.979366e+000	-2.154323e-005	1.547216e+002	1.334664e-003	1.999061e+000	-2.229770e-005	1.541871e+002	2.534664e-003	-1.954009e+000	2.542090e-005	-1.545864e+002	3.734664e-003	-1.953788e+000	2.366261e-005	-1.537712e+002	4.934664e-003	1.998058e+000	-2.542901e-005	1.552224e+002	
1.354126e-004	1.956347e+000	-2.107403e-005	1.540839e+002	1.335413e-003	1.976609e+000	-2.255060e-005	1.535161e+002	2.535413e-003	-1.928909e+000	2.495445e-005	-1.538327e+002	3.735413e-003	-1.930683e+000	2.267552e-005	-1.530778e+002	4.935413e-003	1.974014e+000	-1.672335e-005	1.545917e+002	
1.361607e-004	1.933201e+000	-2.345418e-005	1.534176e+002	1.336161e-003	1.955379e+000	-2.189780e-005	1.528510e+002	2.536161e-003	-1.907922e+000	2.672389e-005	-1.530594e+002	3.736161e-003	-1.907104e+000	2.503907e-005	-1.523639e+002	4.936161e-003	1.952815e+000	-2.227518e-005	1.540082e+002	
1.369089e-004	1.909548e+000	-2.110610e-005	1.527509e+002	1.336909e-003	1.933165e+000	-2.119173e-005	1.522063e+002	2.536909e-003	-1.884119e+000	2.352541e-005	-1.523076e+002	3.736909e-003	-1.884964e+000	2.292773e-005	-1.516462e+002	4.936909e-003	1.931515e+000	-2.026391e-005	1.533717e+002	
1.376570e-004	1.889368e+000	-2.110566e-005	1.521193e+002	1.337657e-003	1.909589e+000	-2.121541e-005	1.515717e+002	2.537657e-003	-1.860825e+000	2.594333e-005	-1.515674e+002	3.737657e-003	-1.863648e+000	2.382693e-005	-1.509466e+002	4.937657e-003	1.908520e+000	-2.090057e-005	1.527557e+002	
1.384051e-004	1.865899e+000	-2.082775e-005	1.514919e+002	1.338405e-003	1.886933e+000	-1.979124e-005	1.509582e+002	2.538405e-003	-1.840485e+000	2.046437e-005	-1.508730e+002	3.738405e-003	-1.840404e+000	2.492720e-005	-1.502171e+002	4.938405e-003	1.886750e+000	-2.386362e-005	1.520860e+002	
1.391533e-004	1.843486e+000	-2.040072e-005	1.508750e+002	1.339153e-003	1.864162e+000	-1.854229e-005	1.503846e+002	2.539153e-003	-1.818172e+000	2.327441e-005	-1.502185e+002	3.739153e-003	-1.817994e+000	2.369769e-005	-1.494895e+002	4.939153e-003	1.863648e+000	-2.204310e-005	1.513991e+002	
1.399014e-004	1.821797e+000	-2.066681e-005	1.502605e+002	1.339901e-003	1.843595e+000	-2.061834e-005	1.497986e+002	2.539901e-003	-1.795576e+000	2.378614e-005	-1.495144e+002	3.739901e-003	-1.796513e+000	2.615654e-005	-1.487436e+002	4.939901e-003	1.842157e+000	-2.295541e-005	1.507258e+002	
1.406496e-004	1.799615e+000	-2.205925e-005	1.496212e+002	1.340650e-003	1.821335e+000	-2.174462e-005	1.491648e+002	2.540650e-003	-1.772764e+000	2.157434e-005	-1.488357e+002	3.740650e-003	-1.774670e+000	2.451833e-005	-1.479854e+002	4.940650e-003	1.819147e+000	-2.335326e-005	1.500329e+002	
1.413977e-004	1.777574e+000	-2.400522e-005	1.489319e+002	1.341398e-003	1.797579e+000	-2.213795e-005	1.485082e+002	2.541398e-003	-1.751773e+000	2.441488e-005	-1.481476e+002	3.741398e-003	-1.752118e+000	2.440335e-005	-1.472534e+002	4.941398e-003	1.797331e+000	-2.033702e-005	1.493791e+002	
1.421458e-004	1.753612e+000	-2.381766e-005	1.482164e+002	1.342146e-003	1.776695e+000	-2.268599e-005	1.478375e+002	2.542146e-003	-1.729088e+000	2.415167e-005	-1.474209e+002	3.742146e-003	-1.729621e+000	2.457265e-005	-1.465205e+002	4.942146e-003	1.775589e+000	-2.566635e-005	1.486908e+002	
1.428940e-004	1.731429e+000	-2.299950e-005	1.475159e+002	1.342894e-003	1.753141e+000	-2.265920e-005	1.471590e+002	2.542894e-003	-1.705833e+000	2.487715e-005	-1.466873e+002	3.742894e-003	-1.707581e+000	2.311621e-005	-1.458070e+002	4.942894e-003	1.752597e+000	-2.356672e-005	1.479541e+002	
1.436421e-004	1.708303e+000	-2.257825e-005	1.468339e+002	1.343642e-003	1.729855e+000	-2.308211e-005	1.464746e+002	2.543642e-003	-1.684278e+000	2.502245e-005	-1.459406e+002	3.743642e-003	-1.684650e+000	2.306570e-005	-1.451160e+002	4.943642e-003	1.728785e+000	-2.318066e-005	1.472547e+002	
1.443902e-004	1.685635e+000	-2.012010e-005	1.461950e+002	1.344390e-003	1.707562e+000	-2.449601e-005	1.457627e+002	2.544390e-003	-1.661321e+000	2.424394e-005	-1.452035e+002	3.744390e-003	-1.661661e+000	2.533456e-005	-1.443918e+002	4.944390e-003	1.705306e+000	-2.096090e-005	1.465942e+002	
1.451384e-004	1.663067e+000	-1.728852e-005	1.456353e+002	1.345138e-003	1.685811e+000	-1.912772e-005	1.451100e+002	2.545138e-003	-1.639623e+000	2.347217e-005	-1.444895e+002	3.745138e-003	-1.639170e+000	2.425830e-005	-1.436497e+002	4.945138e-003	1.683165e+000	-2.043947e-005	1.459747e+002	
1.458865e-004	1.640779e+000	-2.049380e-005	1.450700e+002	1.345887e-003	1.662739e+000	-1.992661e-005	1.445256e+002	2.545887e-003	-1.617569e+000	2.484824e-005	-1.437665e+002	3.745887e-003	-1.617517e+000	2.465016e-005	-1.429179e+002	4.945887e-003	1.661424e+000	-2.158586e-005	1.453459e+002	
1.466346e-004	1.618347e+000	-2.078755e-005	1.444523e+002	1.346635e-003	1.642744e+000	-2.071318e-005	1.439175e+002	2.546635e-003	-1.595202e+000	2.068541e-005	-1.430852e+002	3.746635e-003	-1.595739e+000	2.238552e-005	-1.422141e+002	4.946635e-003	1.640655e+000	-1.952551e-005	1.447308e+002	
1.473828e-004	1.596618e+000	-2.315254e-005	1.437948e+002	1.347383e-003	1.619251e+000	-2.352577e-005	1.432556e+002	2.547383e-003	-1.572167e+000	2.510158e-005	-1.424001e+002	3.747383e-003	-1.572131e+000	2.284941e-005	-1.415373e+002	4.947383e-003	1.617391e+000	-2.166736e-005	1.441144e+002	
1.481309e-004	1.573199e+000	-2.288839e-005	1.431059e+002	1.348131e-003	1.596378e+000	-2.110089e-005	1.425878e+002	2.548131e-003	-1.550069e+000	2.168439e-005	-1.417001e+002	3.748131e-003	-1.549950e+000	1.905204e-005	-1.409103e+002	4.948131e-003	1.595731e+000	-2.141698e-005	1.434698e+002	
1.488790e-004	1.551067e+000	-2.394680e-005	1.424051e+002	1.348879e-003	1.573326e+000	-2.396735e-005	1.419135e+002	2.548879e-003	-1.530261e+000	2.558102e-005	-1.409928e+002	3.748879e-003	-1.526685e+000	2.406056e-005	-1.402653e+002	4.948879e-003	1.571984e+000	-2.248155e-005	1.428129e+002	
1.496272e-004	1.529914e+000	-2.065461e-005	1.417378e+002	1.349627e-003	1.551845e+000	-1.619583e-005	1.413126e+002	2.549627e-003	-1.505913e+000	2.607276e-005	-1.402200e+002	3.749627e-003	-1.506022e+000	2.275601e-005	-1.395648e+002	4.949627e-003	1.549021e+000	-2.010500e-005	1.421757e+002	
1.503753e-004	1.507172e+000	-2.083156e-005	1.411170e+002	1.350375e-003	1.528319e+000	-1.957631e-005	1.407773e+002	2.550375e-003	-1.483983e+000	2.728203e-005	-1.394216e+002	3.750375e-003	-1.481344e+000	2.249652e-005	-1.388877e+002	4.950375e-003	1.526417e+000	-2.420114e-005	1.415128e+002	
1.511235e-004	1.485946e+000	-2.245190e-005	1.404694e+002	1.351123e-003	1.505855e+000	-2.244867e-005	1.401485e+002	2.551123e-003	-1.461511e+000	2.100265e-005	-1.386991e+002	3.751123e-003	-1.458552e+000	2.420612e-005	-1.381889e+002	4.951123e-003	1.505089e+000	-2.152101e-005	1.408286e+002	
1.518716e-004	1.463096e+000	-2.228655e-005	1.398000e+002	1.351872e-003	1.483316e+000	-2.196748e-005	1.394839e+002	2.551872e-003	-1.439544e+000	2.229870e-005	-1.380512e+002	3.751872e-003	-1.436386e+000	2.351399e-005	-1.374748e+002	4.951872e-003	1.482802e+000	-1.906951e-005	1.402213e+002	
1.526197e-004	1.440543e+000	-2.180001e-005	1.391403e+002	1.352620e-003	1.461441e+000	-2.238521e-005	1.388203e+002	2.552620e-003	-1.417246e+000	2.329572e-005	-1.373690e+002	3.752620e-003	-1.414166e+000	2.432008e-005	-1.367591e+002	4.952620e-003	1.459976e+000	-2.252474e-005	1.395989e+002	
1.533679e-004	1.419233e+000	-2.147421e-005	1.384928e+002	1.353368e-003	1.440305e+000	-1.876186e-005	1.382046e+002	2.553368e-003	-1.394521e+000	2.353878e-005	-1.366683e+002	3.753368e-003	-1.392303e+000	2.637487e-005	-1.360006e+002	4.953368e-003	1.436418e+000	-2.126609e-005	1.389437e+002	
1.541160e-004	1.395745e+000	-2.147522e-005	1.378502e+002	1.354116e-003	1.416323e+000	-2.231905e-005	1.375899e+002	2.554116e-003	-1.371524e+000	2.426838e-005	-1.359529e+002	3.754116e-003	-1.367693e+000	3.354711e-005	-1.351040e+002	4.954116e-003	1.414798e+000	-2.326184e-005	1.382775e+002	
1.548641e-004	1.372287e+000	-2.242275e-005	1.371934e+002	1.354864e-003	1.394660e+000	-2.085004e-005	1.369440e+002	2.554864e-003	-1.349637e+000	2.537814e-005	-1.352101e+002	3.754864e-003	-1.344958e+000	1.890876e-005	-1.343191e+002	4.954864e-003	1.392724e+000	-1.815006e-005	1.376578e+002	
1.556123e-004	1.350711e+000	-2.207854e-005	1.365275e+002	1.355612e-003	1.370874e+000	-2.256075e-005	1.362944e+002	2.555612e-003	-1.325692e+000	2.491455e-005	-1.344576e+002	3.755612e-003	-1.324720e+000	2.317710e-005	-1.336894e+002	4.955612e-003	1.371698e+000	-2.153807e-005	1.370640e+002	
1.563604e-004	1.327425e+000	-2.230697e-005	1.358634e+002	1.356360e-003	1.349163e+000	-2.409557e-005	1.355963e+002	2.556360e-003	-1.303374e+000	2.653239e-005	-1.336878e+002	3.756360e-003	-1.301659e+000	2.205525e-005	-1.330126e+002	4.956360e-003	1.347084e+000	-2.178640e-005	1.364157e+002	
1.571085e-004	1.305484e+000	-2.004975e-005	1.352296e+002	1.357109e-003	1.327801e+000	-2.271019e-005	1.348960e+002	2.557109e-003	-1.281312e+000	2.585156e-005	-1.329040e+002	3.757109e-003	-1.278877e+000	2.453325e-005	-1.323155e+002	4.957109e-003	1.325549e+000	-2.071506e-005	1.357798e+002	
